Designator,Mid X,Mid Y,Rotation,Layer
S1,152.4,-152.4,0.0,top
S10,209.55,-152.4,0.0,top
S11,209.55,-133.35,0.0,top
S12,209.55,-114.3,0.0,top
S13,228.6,-152.4,0.0,top
S14,228.6,-133.35,0.0,top
S15,228.6,-114.3,0.0,top
S16,206.6925,-179.07,0.0,top
S17,225.7425,-179.07,0.0,top
S18,244.7925,-180.975,0.0,top
S2,152.4,-133.35,0.0,top
S3,152.4,-114.3,0.0,top
S4,171.45,-152.4,0.0,top
S5,171.45,-133.35,0.0,top
S6,171.45,-114.3,0.0,top
S7,190.5,-152.4,0.0,top
S8,190.5,-133.35,0.0,top
S9,190.5,-114.3,0.0,top
TRRS1,244.7925,-104.775,0.0,top
U0,168.5925,-173.355,90.0,top
_4,235.2675,-169.545,0.0,top
_5,152.4,-173.355,0.0,top
_6,161.925,-123.825,0.0,top
_7,219.075,-123.825,0.0,top
